,122,140,141,142,143,144,195,227,243,382,384,390,396,403,420,435
acc,0.802419355,0.828025478,0.815420561,0.828220859,0.758064516,0.748917749,0.594674556,0.789346247,0.756756757,0.734463277,0.734848485,0.814492754,0.803680982,0.735015773,0.845794393,0.774936061
recall,0.608695652,0.854166667,0.672268908,0.725490196,0.549019608,0.493333333,0.666666667,0.294642857,0.419354839,0.294117647,0.377777778,0.84962406,0.888888889,0.473684211,0.740540541,0.761061947
auc,0.742895312,0.835340214,0.771409535,0.800245098,0.693028322,0.682564103,0.605833333,0.634032392,0.656597472,0.60340803,0.648659004,0.821038445,0.830037665,0.660265529,0.814471583,0.770818743
f1,0.631578947,0.752293578,0.669456067,0.725490196,0.554455446,0.560606061,0.573208723,0.431372549,0.499040307,0.38961039,0.492753623,0.779310345,0.714285714,0.517241379,0.73458445,0.661538462
